text,label
Ошибка при автоотправке Ссылка на проблему Ссылка на клиента Описание Письмо не ушло автоматически сразу была ошибка Оплаченный период закончился Через часа письмо отправилось У клиента за было таких кейса Аккаунт активный и давно.,back 
В описании проблемы не хватает предлога НА В этой ошибке пропущен предлог .,front
Аккаунт оплачен требует оплату Ссылка на клиента Страница проблемы Описание Аккаунт активен до просит оплатить Николай .,front
Ошибки в статистике Запрос возвращает пустой массив после этого при попытке нажать на вкладки все падает Ссылка на пользователя .,front
Сбивается настройка в автоотправке Ссылка на клиента Смогли ли мы воспроизвести проблему на своём компьютере Да Ссылка на клиента Ссылка на Описание проблемы При настройках авототправки выбираешь Всем контактам в сделке Сохраняешь Открываешь показывает Основному контакту Это визуальный баг Настройка Всем контактам в сделке применяется .,front
Слетает настройка в поле Кому при повторном открытии настройки автоотправки Слетает поле Кому при настройке автоотправки письма через шаблон Если сначала указать Всем контактам в сделке далее сохранить и вновь открыть то будет выбран пункт Основному контакту .,front
Не скачиваются акты Ссылка на клиента Описание Если клиент скачивает счет из виджета в то после этого не может скачать акт из той же сделки Почистила ей кеш проверила на ошибки наших нет Только это Куда копать Говорит это только у нее на компе Юлия .,front
Ответ в через не работает Ссылка на проблему Ссылка на клиента Описание проблемы При нажатии на Ответить через ничего не происходит клиент Еще один .,front
Не отображаются сообщения в переписке Страница проблемы Ссылка на клиента Браузер и Операционная системаотправлял из Ошибки в консоли нет Ошибки в запросах нет Подробное описание проблемы При переписке в чате открытого вложения уезжают ранние сообщения и едет верстка Тестировала у себя на компе   у меня все едет .,front
Проблема в статистике Страница проблемы Ссылка на клиента Описание В статистике в разделы Шаблоны и целевое действие целевое действие отображается оплата счета Проверяла свой аккаунт у меня вообще нигде таких целевых действий нет .,front
Шаблон целевое открыли ссылку Шаблон целевое открыли вложение Такая же ситуация у Евгения Еще клиент Страница проблемы Ссылка на клиента Описание В шаблоне целевое действие открыть вложение в статистике оплата счета В шаблоне то же самое .,front
амо виджет баг в отображении колва писем можно посмотреть по ссылке .,front
Не правильно отображается блок  у меня установлен виджет в Нужно не отображать этот блок и все соответствующие всплывашки при сохранении шаблона   от Битрикса .,front
Перезагрузка страницы слетает интеграция Ссылка на клиента Описание проблемы У клиента слетает интеграция в виджете при перезагрузки страницы После очистки кеша какоето время работает потом слетает Чистили кеш переустанавливали виджет с очисткой данных Чистила кеш на компьютере Проблема повторяется Ошибка в консоле      .,front
Не подгружается новый пользователь в виджет Контроль задач Ссылка на клиента Ссылка на обращение Описание проблемы Пользователя сегодня удаляли из и снова добавили после этого информации по его аккаунту нет в виджете Контроль задач В зарегистрирован с аккаунтом Вместе переустановили виджет не помогло .,front
Открытоне открыто письмо было отправлено на ящик от У него в акке письмо находится в разделе Письма в неоткрытых но письмо было открыто и был переход по ссылке клиент тоже говорит что письмо открывал письма .,front
убрать чат из презентации Клиент Аккаунты Клиент просит убрать чат из презентации чтобы клиенты его не видели Для всех аккаунтов в домене .,front
Не работают кастомные поля автозаполнения Ссылка на шаблон Ссылка на клиента Описание проблемы У клиента есть кастомные поля они созданы в контакте ЛПР Имя и ЛПР Для из контакта они подтягиваются в шаблон нормально а из сделки нет Протестировала у себя тоже самое Это скрин из лида Это скрин из контакта Для связи Андрей .,front
партнерка список оплат Надо добавить округление партнер клиент .,front
регистрация клиента партнером Ввод не надо ругаться на заглавные буквы Сами приводим все к либо при вводе либо при отправке на бек на пустые поля меняем текст ошибки обязательные поля .,front
В партнерском кабинете при выставлении счета и выравнивании сроков ошибка Если партнер хочет привести всех пользователей к единой дате оплаты партнерский кабинет не дает сформировать счет партнер клиент Счет не формируется если стоит галочка выровнять до определенной даты Ошибка при выборе любой даты .,front
Опечатки В партнерке при созданиИ На лендинге .,front
У нас охенно виснет страница статистики по письму Ссылка на стату Причина запрос Возвращает к писем и мб данных И это странно надо разобраться почему у нас в базе к связанных писем И реально ли это так и может просто выборка косячная .,front
протокол в генерации ссылок Если скопировать ссылку сразу после генерации не выходя из виджета то ссылка будет скопирована без протокола и начинается сразу со слова Браузер подставляет протокол но если отправить в смс какимнибудь смсру то в мобилке ссылка не определяется как ссылка без протокола и выглядит как обычный текст .,front
При открытии созданной ссылки на документ не работает кнопка скопировать ссылку При открытии настроек созданной ссылки на документ в карточке сделки кнопка скопировать ссылку не активна .,front
не сохраняются данные Ссылка на клиента Описание проблемы Клиент вносит нажимает сохранить перезагружает страницу открывает настройки и он опять показвает яндекса при этом порт сохраняется .,front
Не сохраняется воронка в Шаблоне Ссылка на клиента Ссылка на шаблон Описание У меня тоже не сохраняется Обращение .,front
остается емэйл и имя предыдущего письма Ссылка на клиента Описание После отправки письма через личный кабинет и имя и вообще все поля остаются заполнеными  имя Если выбрать другой шаблон они тоже остаются Данные очищаются после обновления страницы Так задумано Можно это поправить Обращение .,front
При сохранении изменений в разделе Шаблоны зависает страница До записи видео вообще не могла сохранить выдавал ошибку что сохранение не возможно я ее хотела запечатлить .,front
не работает новый интерфейс Шаблонов Ссылка на проблему Ссылка на клиента Описание Не загружается новый интерфейс раздела Шаблоны Старый открылся Делала очистку кеша не помогло Обращение Обращение  .,front
Не открывается статистика из виджета в При нажатии на кнопку статистика в письме в виджете получаем такое сделала очистку кеша не помогло Ошибки в консоли .,front
при первой авторизации в виджете в ошибка ваш аккаунт надо оплатить При первой авторизации в в иджете или после очистки кеша если попробовать отправить письмо выдает ошибку у вас закончилась подписка Помогает перезагрузка страницы .,front
Проблема со входом в виджет в При первом входе клиенты нажимают сюда вносят свой и пароль и идет бесконечная загрузка Либо надо убрать этот функционал либо починить .,front
Автозаполняемое поле добавляет пробел Ссылка на клиента Описание Автозаполняемое поле наименованиеконтакта добавляет поле текста пробел которого нет в шаблоне У себя проверила тоже самое Обращение .,front
Контроль задач Задача поставилась не на ответственного Стас вот описание проблемы  Нашла интересную вещь в постановке задачи по запросу выставления счета на Контроль задач Сделка на Ване задача поставилась на Женю  .,front
Не устанавливается виджет в в интеграциях Ссылка на клиента Описание у клиента сменился АПИ ключ в аккаунте Амо И не получается переподключить интеграцию Делала с клиентом несколько раз чистила кеш не подключается При этом находится в подключенных интеграциях Ошибка в консоли Проверила у себя интеграция нормально работает .,front
убрать кнопку подключить через при интеграции гуглопочты Описание При подключении почты на все выбирают подключить через а не другое Можно убрать эту опцию для почты партнеры просят и клиенты путаются при интеграции .,front
